,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
7G Distributing,OFF,INDEPENDENTS,LOCAL CRAFT CELLAR,7085 C AVE NE,CEDAR RAPIDS,IA,52402,,20260629,Tigerhawk 2/12/12oz Can,17,0,0
7G Distributing,OFF,INDEPENDENTS,LOCAL CRAFT CELLAR,7085 C AVE NE,CEDAR RAPIDS,IA,52402,,20260629,Tigerhawk 4/6/16oz Can,14.666667,0,0
7G Distributing,OFF,INDEPENDENTS,FAMILY FOODS TIPTON #1480,610 CEDAR ST,TIPTON,IA,52772,1480,0,Tigerhawk 2/12/12oz Can,12,0,0
7G Distributing,OFF,INDEPENDENTS,CORK N BOTTLE,900 E MAIN ST,MANCHESTER,IA,52057,,0,Tigerhawk 2/12/12oz Can,11,0,0
7G Distributing,OFF,INDEPENDENTS,DEWITT TRAVEL MART,630 S 6TH AVE,DE WITT,IA,52742,,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,INDEPENDENTS,BOOTLEGGIN BARZINIS FINE WINE,412 1ST AVE,CORALVILLE,IA,52241,,0,Tigerhawk 2/12/12oz Can,9,0,0
7G Distributing,OFF,INDEPENDENTS,ROYS HOMETOWN GROCERY,105 PEARL ST SE,SHELLSBURG,IA,52332,,20240705,Tigerhawk 4/6/16oz Can,8,0,0
7G Distributing,OFF,INDEPENDENTS,380 BP,2722 120TH ST NE,SWISHER,IA,52338,,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,WESTSIDE SPIRITS,3330 16TH AVE SW,CEDAR RAPIDS,IA,52404,,20260430,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,WESTSIDE SPIRITS,3330 16TH AVE SW,CEDAR RAPIDS,IA,52404,,20260430,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,7G DISTRIBUTING DUBUQUE #02291,5035 CHAVENELLE RD,DUBUQUE,IA,52002,"=""02291""",0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,DEPOT EXPRESS,100 E OAKDALE BLVD STE 100,CORALVILLE,IA,52241,,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,DEPOT EXPRESS,100 E OAKDALE BLVD STE 100,CORALVILLE,IA,52241,,0,Tigerhawk 4/6/16oz Can,6.666667,0,0
7G Distributing,OFF,INDEPENDENTS,RANDYS NEIGHBORHOOD MARKET,622 10TH ST,DE WITT,IA,52742,,20240918,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,JACK & JILL,115 E MAIN ST,WEST BRANCH,IA,52358,,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,JACK & JILL,115 E MAIN ST,WEST BRANCH,IA,52358,,0,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,OFF,INDEPENDENTS,MEGA LIQUOR VAPE & TOBACCO,5680 KACENA AVE,MARION,IA,52302,,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,INDEPENDENTS,WILLYS WINE & SPIRITS,5287 COMPETITION DR,BETTENDORF,IA,52722,,20250910,Tigerhawk 2/12/12oz Can,6,0,0
7G Distributing,OFF,INDEPENDENTS,THE DEPOT EXPRESS,188 PARKRIDGE RD,ATKINS,IA,52206,,0,Tigerhawk 4/6/16oz Can,5.333334,0,0
7G Distributing,OFF,INDEPENDENTS,SUPER VALU,400 S 2ND ST,BELLEVUE,IA,52031,,0,Tigerhawk 2/12/12oz Can,5,0,0
7G Distributing,OFF,INDEPENDENTS,CORNER STORE,4200 LEWIS ACCESS RD,CENTER POINT,IA,52213,,0,Tigerhawk 2/12/12oz Can,5,0,0
7G Distributing,OFF,INDEPENDENTS,HOMETOWN SPIRITS,119 W MARENGO RD,TIFFIN,IA,52340,,0,Tigerhawk 2/12/12oz Can,5,0,0
7G Distributing,OFF,INDEPENDENTS,HAWKEYE SMOKE AND LIQUOR,108 E COLLEGE ST,IOWA CITY,IA,52240,,0,Tigerhawk 2/12/12oz Can,5,0,0
7G Distributing,OFF,INDEPENDENTS,DUBUQUE WINE & SPIRITS,3305 ASBURY RD,DUBUQUE,IA,52002,,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,DUBUQUE WINE & SPIRITS,3305 ASBURY RD,DUBUQUE,IA,52002,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,INDEPENDENTS,GIGGLE JUICE,600 W MAIN ST,ANAMOSA,IA,52205,,20240202,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,QUICK STOP,1430 1ST AVE NE,CEDAR RAPIDS,IA,52402,,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,THE DEPOT,200 HWY 151,WALFORD,IA,52351,,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,TOP SHELF LIQUOR,412 HWY 1 W,IOWA CITY,IA,52246,,0,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,INDEPENDENTS,BP,504 3RD ST,DELHI,IA,52223,,0,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,OFF,INDEPENDENTS,GARYS FOODS  MT VERNON,715 1ST AVE S,MOUNT VERNON,IA,52314,,20251230,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,OFF,INDEPENDENTS,GARYS FOODS  MT VERNON,715 1ST AVE S,MOUNT VERNON,IA,52314,,20251230,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,NEW PIONEER FOOD CO OP,22 S VAN BUREN ST,IOWA CITY,IA,52240,,20260421,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,OFF,INDEPENDENTS,NEW PIONEER FOOD CO OP,22 S VAN BUREN ST,IOWA CITY,IA,52240,,20260421,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,THE STATION II LIQUOR,620 MEADE DR,NORTH LIBERTY,IA,52317,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,BARRELS & BOTTLES LIQUOR STORE,536 N CODY RD,LE CLAIRE,IA,52753,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,BENZ BEVERAGE DEPOT,501 7TH AVE SE,CEDAR RAPIDS,IA,52401,,20260430,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,BENZ BEVERAGE DEPOT,501 7TH AVE SE,CEDAR RAPIDS,IA,52401,,20260430,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,OFF,INDEPENDENTS,QUICK N HANDI,2210 HWY 13,MANCHESTER,IA,52057,,0,Tigerhawk 2/12/12oz Can,3,0,0
