Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Freezy Eddy,Freezy Eddy 1/2 Barrel Keg,DRAFT,0,0,0,0,55.111112,-1,110.222224,0,0,09/25/2025
"Doll Dist - Des Moines, IA",Big Ed,Big Ed 1/2 Barrel (historical),DRAFT,0,0,0,0,0,--,0,0,0,02/27/2025
"Doll Dist - Des Moines, IA",Big Ed,Big Ed 4/6/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,02/06/2025
"Doll Dist - Des Moines, IA",Sherman Hill Champagne,Sherman Hill Champagne 1/2 Barrel Keg,DRAFT,0,0.057407408333,0,13.777778,55.111112,-0.75,20.666667,5.16666675,5.16666675,05/29/2026
"Doll Dist - Des Moines, IA",Sherman Hill Champagne,Sherman Hill Champagne 1/6 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,02/13/2025
"Doll Dist - Des Moines, IA",Sherman Hill Champagne,Sherman Hill Champagne 4/6/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,01/15/2025
"Doll Dist - Des Moines, IA",Moon Rabbit,Moon Rabbit 4/6/12oz Can,PACKAGE,0,0.488888888889,0,44,85,-0.482352941176,0,0,0,06/03/2026
"Doll Dist - Des Moines, IA",Moon Rabbit,Moon Rabbit 1/6 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,03/25/2025
"Doll Dist - Des Moines, IA",Moon Rabbit,Moon Rabbit 6/4/16oz can,PACKAGE,0,0,0,0,0,--,0,0,0,03/24/2021
"Doll Dist - Des Moines, IA",Good Grove,Good Grove 1/2 Barrel Keg,DRAFT,0,0.612345688889,0,0,0,--,55.111112,55.111112,55.111112,07/31/2025
"Doll Dist - Des Moines, IA",Good Grove,Good Grove 4/6/12oz Can,PACKAGE,0,0,0,0,-1,-1,0,0,0,11/27/2024
"Doll Dist - Des Moines, IA",Turtle Hunter,Turtle Hunter 6/4/16oz can,PACKAGE,0,0.488888844444,0,0,0,--,43.999996,43.999996,43.999996,11/06/2025
"Doll Dist - Des Moines, IA",Turtle Hunter,Turtle Hunter 1/6 Barrel,DRAFT,0,0.203851822222,0,0,0,--,18.346664,18.346664,18.346664,10/30/2025
